trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
52,0,52,0,96.18169500003569,,96.13316110003507,10,96.18169500003569,96.18169500003569,0.02851630002260208,97.195439800038,98.17975589999696,[0.42314814814814816],[-0.003703703703703704],[1],[0],[0],[2.0183787000132725],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
53,0,53,0,98.20033520000288,,98.18218820000766,5,98.20033520000288,98.20033520000288,0.009538099984638393,99.21189630002482,99.79730999999447,[0.06018518518518518],[0.21296296296296297],[1],[0],[0],[1.6054226999985985],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
54,0,54,0,99.84297789999982,,99.80084550002357,10,99.84297789999982,99.84297789999982,0.01986240001861006,100.84480700001586,101.479790900019,[-0.18981481481481483],[-0.008333333333333333],[1],[0],[0],[1.6593372999923304],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
55,0,55,0,101.50228260003496,,101.48333220003406,5,101.50228260003496,101.50228260003496,0.012231700005941093,102.51104599999962,102.81304510001792,[-0.09722222222222222],[-0.2175925925925926],[1],[0],[0],[1.3177028000354767],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
56,0,56,0,102.84981139999582,,102.81665860000066,10,102.84981139999582,102.84981139999582,0.019129199965391308,103.86066290002782,104.728356000036,[-0.45185185185185184],[0.4361111111111111],[1],[0],[0],[1.8929592999629676],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
57,0,57,0,104.77250600000843,,104.73091420001583,10,104.77250600000843,104.77250600000843,0.01865040004486218,105.77692640002351,106.07846769999014,[-0.26666666666666666],[0.41944444444444445],[1],[0],[0],[1.3290767999715172],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
58,0,58,0,106.11204520001775,,106.08118480001576,10,106.11204520001775,106.11204520001775,0.01796580001246184,107.12683470000047,107.66262020001886,[0.1962962962962963],[-0.12962962962962962],[1],[0],[0],[1.5631302999681793],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
59,0,59,0,107.68701420002617,,107.66693479998503,5,107.68701420002617,107.68701420002617,0.01461600000038743,108.6930696000345,109.62820839998312,[-0.22777777777777777],[0.14722222222222223],[1],[0],[0],[1.9472214000415988],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
60,0,60,0,109.66004220000468,,109.63196299999254,5,109.66004220000468,109.66004220000468,0.012744100007694215,110.65974949998781,111.62810000003083,[-0.3472222222222222],[-0.4537037037037037],[1],[0],[0],[1.9835718999966048],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
61,0,61,0,111.6707071000128,,111.63206560001709,5,111.6707071000128,111.6707071000128,0.018994899990502745,112.67561650002608,113.0268289000378,[-0.39351851851851855],[-0.18981481481481483],[1],[0],[0],[1.3761280999751762],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
62,0,62,0,113.05425210000249,,113.03010760003235,5,113.05425210000249,113.05425210000249,0.010281700000632554,114.05907100002514,114.69282669998938,[0.3388888888888889],[-0.20833333333333334],[1],[0],[0],[1.6527076000347733],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
63,0,63,0,114.73747089999961,,114.69573590002256,10,114.73747089999961,114.73747089999961,0.01958100002957508,115.74150790000567,116.05948559998069,[0.14629629629629629],[0.03425925925925926],[1],[0],[0],[1.3444371999939904],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
64,0,64,0,116.0890791999991,,116.06185340002412,5,116.0890791999991,116.0890791999991,0.009730399993713945,117.09139780001715,117.42693240003427,[0.15092592592592594],[0.3138888888888889],[1],[0],[0],[1.3551742999698035],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
65,0,65,0,117.48669550003251,,117.43220969999675,10,117.48669550003251,117.48669550003251,0.03066899999976158,118.49127310002223,118.82546760002151,[-0.19166666666666668],[-0.07407407407407407],[1],[0],[0],[1.363320800010115],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
66,0,66,0,118.84615689999191,,118.8276937000337,5,118.84615689999191,118.84615689999191,0.009202200046274811,119.85715709999204,120.09221500001149,[-0.21388888888888888],[0.1638888888888889],[1],[0],[0],[1.2553524000104517],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
67,0,67,0,120.13411189999897,,120.09487040003296,10,120.13411189999897,120.13411189999897,0.019703100027982146,121.14030740002636,122.50843620003434,[-0.08518518518518518],[-0.32037037037037036],[1],[0],[0],[2.393898000009358],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
68,0,68,0,122.53674160002265,,122.51033399999142,10,122.53674160002265,122.53674160002265,0.018036100023891777,123.5399383000331,125.04062119999435,[-0.20833333333333334],[-0.47129629629629627],[1],[0],[0],[2.512337399995886],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
69,0,69,0,125.06086100003449,,125.04314090003027,5,125.06086100003449,125.06086100003449,0.0093889000127092,126.07291590003297,126.40738430002239,[-0.10462962962962963],[0.375],[1],[0],[0],[1.3549899000208825],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
70,0,70,0,126.45126509998227,,126.41048040002352,10,126.45126509998227,126.45126509998227,0.018175899982452393,127.45577960001538,128.2899119000067,[0.34629629629629627],[-0.2916666666666667],[1],[0],[0],[1.8615928000072017],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
