trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
55,0,55,0,101.3473520000116,,101.31703000003472,10,101.3473520000116,101.3473520000116,0.021057199977803975,102.36061130004236,102.54527390003204,[-0.07777777777777778],[-0.018518518518518517],[1],[0],[0],[1.2075361000024714],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
56,0,56,0,102.57629600004293,,102.54837400000542,10,102.57629600004293,102.57629600004293,0.019306099973618984,103.57708310004091,104.79455300001428,[0.48055555555555557],[-0.4675925925925926],[1],[0],[0],[2.227147099969443],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
57,0,57,0,104.83894800004782,,104.79760630003875,10,104.83894800004782,104.83894800004782,0.01940469996770844,105.84314589999849,107.444767100038,[-0.2953703703703704],[-0.19537037037037036],[1],[0],[0],[2.6277597000007518],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
58,0,58,0,107.48068940005032,,107.44909980002558,5,107.48068940005032,107.48068940005032,0.012010399950668216,108.49262050003745,109.09511390002444,[-0.006481481481481481],[0.15462962962962962],[1],[0],[0],[1.63392669998575],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
59,0,59,0,109.13186429999769,,109.1003297000425,5,109.13186429999769,109.13186429999769,0.016317499976139516,110.14229760004673,110.89542220003204,[0.013888888888888888],[-0.07222222222222222],[1],[0],[0],[1.7788409999920987],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
60,0,60,0,110.95325550000416,,110.90047310001682,10,110.95325550000416,110.95325550000416,0.03067659999942407,111.95914570003515,112.65957530000014,[-0.38333333333333336],[0.12037037037037036],[1],[0],[0],[1.7291038999683224],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
61,0,61,0,112.68096389999846,,112.66224380000494,5,112.68096389999846,112.68096389999846,0.009520399966277182,113.69189610000467,114.25952180003515,[0.019444444444444445],[0.34629629629629627],[1],[0],[0],[1.587924399995245],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
62,0,62,0,114.28253500000574,,114.26278150000144,5,114.28253500000574,114.28253500000574,0.012127699970733374,115.29116510000313,115.67582250002306,[0.25833333333333336],[0.4462962962962963],[1],[0],[0],[1.401081200048793],[],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
63,0,63,0,115.69811070000287,,115.67963650001911,5,115.69811070000287,115.69811070000287,0.012349999975413084,116.70742570003495,117.2085642000311,[-0.21944444444444444],[0.0],[1],[0],[0],[1.516903400013689],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
64,0,64,0,117.24270880001131,,117.21235110005364,5,117.24270880001131,117.24270880001131,0.011639699980150908,118.25716530001955,118.62560340005439,[-0.25925925925925924],[-0.025925925925925925],[1],[0],[0],[1.4018651000224054],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
